Precio UF,N Habitaciones,N Baños,Comuna,Provincia,Amueblado,Estacionamiento,Año de construcción,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Sauna,Ascensor,Area Construida,Area Terreno,Casa,Terreno,Ratio Hab/Baños
1963.8,2.0,1.0,Villa Alemana,Valparaíso,Sin amueblar,1,1990.0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160.0,70.0,1,0,2.0
4200.0,2.0,1.0,Otras,San Antonio,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.0,67.0,1,0,2.0
9500.0,5.0,3.0,Viña del Mar,Valparaíso,,1,1940.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300.0,233.0,1,0,1.6666666666666667
2190.4,2.0,1.0,Villa Alemana,Valparaíso,,1,1990.0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,,88.0,1,0,2.0
7300.0,3.0,2.0,Viña del Mar,Valparaíso,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,95.0,1,0,1.5
7743.0,4.0,3.0,Viña del Mar,Valparaíso,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,141.0,1,0,1.3333333333333333
6400.0,7.0,2.0,Valparaíso,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,202.0,1,0,3.5
11976.0,5.0,5.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,700.0,209.0,1,0,1.0
3300.0,4.0,3.0,Zapallar,Petorca,,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150.0,1,0,1.3333333333333333
3016.0,3.0,2.0,Otras,Quillota,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5000.0,1,0,1.5
14000.0,5.0,4.0,Quilpué,Valparaíso,,1,,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1528.0,255.0,1,0,1.25
9900.0,6.0,3.0,Viña del Mar,Valparaíso,,1,1958.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,340.0,184.0,1,0,2.0
3870.0,4.0,1.0,Concón,Valparaíso,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,430.0,1,0,4.0
6900.0,5.0,4.0,Viña del Mar,Valparaíso,,1,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197.0,140.0,1,0,1.25
6300.0,4.0,2.0,Villa Alemana,Valparaíso,,1,1998.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,495.0,122.0,1,0,2.0
3021.23,4.0,2.0,Otras,San Antonio,Sin amueblar,1,,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,300.0,110.0,1,0,2.0
4028.31,4.0,2.0,Otras,San Felipe de Aconcagua,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,2.0
16000.0,6.0,8.0,Villa Alemana,Valparaíso,,1,,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5000.0,500.0,1,0,0.75
14602.63,5.0,4.0,Viña del Mar,Valparaíso,,1,,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,309.0,300.0,1,0,1.25
9000.0,4.0,3.0,Viña del Mar,Valparaíso,,1,1980.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,409.0,137.0,1,0,1.3333333333333333
9300.0,2.0,1.0,Otras,Valparaíso,Semi-amueblado,1,2024.0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20000.0,200.0,1,0,2.0
2245.0,0.0,0.0,Otras,Marga Marga,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10000.0,0,1,nan
6012.0,0.0,0.0,Viña del Mar,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1630.0,0,1,nan
27500.0,0.0,0.0,Puchuncaví,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3390.0,0,1,nan
10600.0,4.0,3.0,Viña del Mar,Valparaíso,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,160.0,1,0,1.3333333333333333
1511.0,0.0,0.0,Otras,Marga Marga,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5800.0,0,1,nan
850.0,0.0,0.0,Otras,Marga Marga,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5000.0,0,1,nan
19900.0,6.0,6.0,Puchuncaví,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010.0,250.0,1,0,1.0
4028.31,4.0,2.0,Villa Alemana,Valparaíso,Sin amueblar,1,,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,300.0,100.0,1,0,2.0
5300.0,0.0,0.0,Puchuncaví,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,850.0,0,1,nan
25300.0,8.0,7.0,Viña del Mar,Valparaíso,,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3025.0,516.0,1,0,1.1428571428571428
26500.0,10.0,4.0,Valparaíso,Valparaíso,,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,800.0,520.0,1,0,2.5
3524.77,5.0,3.0,Quilpué,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1.6666666666666667
8500.0,4.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.0,180.0,1,0,1.0
14500.0,7.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,270.0,1,0,1.75
8070.0,4.0,3.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,136.0,1,0,1.3333333333333333
14099.1,4.0,2.0,Viña del Mar,Valparaíso,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,250.0,1,0,2.0
24000.0,7.0,6.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.0,428.0,1,0,1.1666666666666667
8800.0,4.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,168.0,1,0,1.0
2500.0,3.0,3.0,Otras,Marga Marga,Semi-amueblado,1,,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0,60.0,1,0,1.0
6999.19,6.0,6.0,Otras,Marga Marga,Semi-amueblado,0,2020.0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,5000.0,320.0,1,0,1.0
18000.0,5.0,4.0,Otras,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295.0,300.0,1,0,1.25
3524.77,4.0,2.0,Otras,Marga Marga,Semi-amueblado,1,2019.0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,120.0,80.0,1,0,2.0
